Grapheme	IPA
ǧ	g
ǧǧ	gː
Ǯ	dʒ
ǯ	dʒ
ǯh	dʒʰ
ǯs	dʒ s
ǯw	dʒʷ
ǯʲ	dʒʲ
ǯʷ	dʒʷ
ǯʼ	dʒʼ
ǯˤ	dʒˤ
ǯ̄	dʒ
ǰ	dʒ
ǰǰ	dʒː
ǰʸ	dʒʲ
ȫ	ø
ȫh	ø h
ȯ	o
ȳ	yː
ȳs	yː s
ɑ	ɑ
ɑː	ɑː
ɑ̄	ɑ
ɑ̇	ɑ
ɓ	ɓ
ɓw	ɓʷ
ɓɓ	ɓː
ɔ	ɔ
ɔ:	ɔː
ɔ::	ɔː
ɔ:̣	ɔː
ɔɔ	ɔɔ
ɔː	ɔː
ɔˑ	ɔˑ
ɔ̀	ɔ
ɔ́	ɔ́
ɔ̂	ɔ
ɔ̂:	ɔː
ɔ̃	ɔ
ɔ̄	ɔ
ɔ̄:	ɔː
ɔ̆	ɔ
ɔ̆:	ɔː
ɔ̉	ɔ
ɔ̣	ɔ
ɔ̯	ɔ
ɕ	ɕ
ɕː	ɕː
ɖ	ɖ
ɖ:	ɖː
ɖw	ɖʷ
ɖɖ	ɖː
ɖʱ	ɖʱ
ɗ	ɗ
ɗw	ɗʷ
ə	ə
ə:	əː
ə:̣	əː
ə:̯	əː
əə	əː
əˑ	əː
ə̀	ə
ə́	ə́
ə́̆	ə́̆
ə̂	ə
ə̂:	əː
ə̃	ə̃
ə̃ə̃	ə̃
ə̄	ə
ə̆	ə
ə̆:	əː
ə̣	ə
ɛ	ɛ
ɛ:	ɛː
ɛɛ	ɛː
ɛː	ɛː
ɛ́	ɛ́
ɛ́:	ɛː
ɛ̂	ɛ
ɛ̂:	ɛː
ɛ̃	ɛ
ɛ̃:	ɛː
ɛ̄	ɛ
ɛ̄:	ɛː
ɛ̆	ɛ
ɛ̆:	ɛː
ɛ̯	ɛ
ɟ	ɟ
ɟ:	ɟː
ɡ	g
ɣ	ɣ
ɣ:	ɣː
ɣh	ɣʰ
ɣs	ɣ s
ɣs̄	ɣ ʂ
ɣw	ɣʷ
ɣɣ	ɣː
ɣʲ	ɣʲ
ɣʷ	ɣʷ
ɣʸ	ɣʲ
ɣʼw	ɣʼ w
ɣˁ	ɣˤ
ɣˤ	ɣˤ
ɣˤʷ	ɣʷˤ
ɣ̆	ɣ
ɦ	ɦ
ɦh	ɦ
ɨ	ɨ
ɨ:	ɨː
ɨɨ	ɨː
ɨɨ̃	ɨ̃ː
ɨˀ	ɨˀ
ɨˤ	ɨˤ
ɨ́	ɨ
ɨ̂	ɨ
ɨ̂:	ɨː
ɨ̃	ɨ
ɨ̃ɨ̃	ɨː
ɨ̄	ɨ
ɨ̄:	ɨː
ɨ̆	ɨ
ɨ̆:	ɨː
ɨ̣	ɨ
ɨ̯	ɨ
ɨ̯̆	ɨ
ɩ	ɪ
ɩh	ɪ h
ɩs	ɪ s
ɩssʸ	ɪ sːʲ
ɩsʸ	ɪ sʲ
ɩsʸɩsʸ	ɪ sʲ ɪ sʲ
ɩɩ	ɪː
ɪ	ɪ
ɪ:	ɪː
ɪ́	ɪ́
ɬ	ɬ
ɬh	ɬʰ
ɬs	ɬ s
ɬw	ɬ w
ɬɬ	ɬː
ɬʲ	ɬʲ
ɬʷ	ɬʷ
ɬʼ	ɬʼ
ɬˀ	ɬˀ
ɬˤ	ɬˤ
ɬ̄	ɬ
ɬ̄ʷ	ɬʷ
ɭ	ɭ
ɭ:	ɭː
ɭh	ɭʰ
ɭw	ɭʷ
ɭː	ɭː
ɲ	ɲ
ɲh	ɲʰ
ɲs	ɲ s
ɲw	ɲʷ
ɲɲ	ɲː
ɲ̃	ɲ
ɲ̥	ɲ̊
ɳ	ɳ
ɳ:	ɳː
ɳs	ɳ s
ɳʃ	ɳ ʃ
ɼ	ɽ
ɽ	ɽ
ɽʃ	ɽ ʃ
ɽʱ	ɽʱ
ʀ	ʀ
ʁ	ʁ
ʁs	ʁ s
ʁʁ	ʁː
ʁ̈	ʁ
ʂ	ʂ
ʃ	ʃ
ʃ:	ʃː
ʃw	ʃʷ
ʈ	ʈ
ʈ:	ʈː
ʈ:h	ʈʰː
ʈ:sh	ʈː ʃ
ʈh	ʈʰ
ʈw	ʈʷ
ʈʈ	ʈː
ʈʰ	ʈʰ
ʈʰɕ	ʈʰ ɕ
ʊ	ʊ
ʊ:	ʊː
ʊ́	ʊ́
ʊ̃	ʊ̃
ʊ̃:	ʊ̃ː
ʊ̄	ʊ
ʌ	ʌ
ʌ:	ʌː
ʌ́	ʌ́
ʌ̂	ʌ
ʒ	ʒ
ʒw	ʒʷ
ʒʷ	ʒʷ
ʒ́	dʒ
ʒ́h	dʒʰ
ʒ̣	ʒ
ʒ̣h	ʒʰ
ʔ	ʔ
ʔ:	ʔː
ʔh	ʔʰ
ʔhʸ	ʔʲʰ
ʔs	ʔ s
ʔsw	ʔ sʷ
ʔsʸ	ʔ sʲ
ʔsˀ	ʔ sˀ
ʔs̄	ʔ s
ʔw	ʔʷ
ʔws	ʔʷ s
ʔʒ	ʔ ʒ
ʔʔ	ʔː
ʔʷ	ʔʷ
ʔʸ	ʔʲ
ʔˤ	ʔˤ
ʔ̂	ʔ
ʔ̂:	ʔː
ʔ̂w	ʔʷ
ʔ̃	ʔ
ʕ	ʕ
ʕs	ʕ s
ʕw	ʕʷ
ʕʒ	ʕ ʒ
ʕʕ	ʕː
ʕʲ	ʕʲ
ʕʷ	ʕʷ
ʕˤ	ʕˤ
ʕ̄	ʕ
ʰ	NULL
ʰk	ʰk
ʰkʷ	ʰkʷ
ʰkʸ	ʰkʲ
ʰl	ʰl
ʰt	ʰt
ʰw	ʰw
ʰy	ʰj
ʰΦ	ʰɱ
ʱ	NULL
ʲ	NULL
ʷ	NULL
ʷɨ	w ɨ
ʸ	NULL
ʼ	ʔ
ʼ$	NULL
ʼa	ʔ a
ʼiʼ	ʔ i
ʼō	ʔ oː
ˀ	ʔ
ˀb	ˀb
ˀd	ˀd
ˀl	ˀl
ˀp	ˀp
ˀw	ˀw
ˀy	ˀj
ˁ	NULL
ˁk	ˀk
ˁkw	ˀkʷ
ˁkʼ	ˀkʼ
ˁx	ˀx
ˁx̌	ˀx
ː	NULL
ˑ	NULL
ˤ	NULL
̀	NULL
́	NULL
̄	NULL
̄́	NULL
̄̄	NULL
̆	NULL
̋	NULL
̌č	tʃ
̌š	ʃ
̯	NULL
Φ	ɱ
β	β
βh	βʰ
βs	β s
βʸ	βʲ
δ	ð
θ	θ
θh	θʰ
θs	θ s
θw	θʷ
θθ	θː
λ	lʲ
λw	lʲʷ
λˀ	lˀ
χ	χ
χs	χ s
χw	χʷ
χʷ	χʷ
χʷs	χʷ s
χχ	χː
ϑ	θ
ϑw	θʷ
І	i
А	a
Д	d
М	m
О	o
Т	t
Х	x
Ъʷ	NULL
б	b
в	w
г	g
д	d
и	i
й	j
к	k
кʼ	kʼ
л	l
м	m
н	n
п	p
р	r
с	s
т	t
ф	f
ц	ts
ч	tʃ
ш	ʃ
ъ	NULL
ь	NULL
ю	u
ә	ə
ᵐ	NULL
ᵐb	ⁿb
ᵐbv	ⁿbv
ᵐp	ⁿp
ᵐpf	ⁿpf
ᵑ	NULL
ᵑg	ⁿg
ᵑgw	ⁿgʷ
ᵑk	ⁿk
ᵑkx	ⁿkx
ᵑw	ⁿw
ḅ	b
ḍ	ɖ
ḍh	ɖʰ
ḍḍ	ɖː
Ḡ	ɢ
ḡ	g
ḥ	h
ḥʷ	hʷ
ḳ	q
ḳh	qʰ
ḳs	q s
ḳw	qʷ
ḳʰ	qʰ
ḳʰs	qʰ s
ḳʰw	qʷʰ
ḳʷ	qʷ
ḳʷˀ	qʷˀ
ḳˀ	qˀ
ḳˀw	qˀʷ
ḳˀʷ	qˀʷ
ḳˀʷs	qˀʷ s
ḳḳ	qː
ḵ	k
ḷ	ɭ
ḷḷ	ɭː
ḻ	l
ṁ	m
ṁh	mʰ
ṁs	m s
ṃ	m
ṃh	mʰ
ṃs	m s
ṅ	ŋ s
ṅs	ŋ s
ṇ	ɳ
ṇ́	ɳ
ṇṇ	ɳː
ṉ	n
ṉṉ	nː
ṗ	p
ṛ	ɽ
ṛh	ɽʰ
ṛw	ɽʷ
ṛ̌	ɽ
ṝ	r
ṟ	r
ṟṟ	r
ṣ	ʂ
ṣh	ʂʷ
ṣw	ʂʷ
ṣ̌	ʂ
ṣṣ	ʂː
ṭ	ʈ
ṭh	ʈʰ
ṭw	ʈʷ
ṭ̯̆	ʈ
ṭ͡ʀ	ʈ ʀ
ṭṭ	ʈː
ṳ̈	u
ẅ	w
ẓ	ʐ
ẖ	h
ạ	a
ả	a
ấ	a
ầ	a
ẫ	a
ậ	a
ắ	a
ằ	a
ặ	a
ẹ	a
ẹ̄	a
ẽ	ẽ
ẽ:	ẽː
ẽˀ	ẽˀ
ẽ̇	ẽ
ẽẽ	ẽː
ế	e
ề	e
ễ	e
ệ	e
ị	i
ọ	o
ố	o
ồ	o
ỗ	o
ộ	o
ụ	u
ỳ	ỳ
ỵ	y
ỹ	ỹ
⁰	⁰
⁴	⁴
⁴²	⁴²
⁴²⁴	⁴²⁴
⁴³	⁴³
⁴³⁴	⁴³⁴
⁴¹	⁴¹
⁴¹²	⁴¹²
⁴⁴	⁴⁴
⁴⁴¹	⁴⁴¹
⁴⁵	⁴⁵
⁴⁵³	⁴⁵³
⁴⁶	⁴⁶/⁴⁵
⁴⁹	⁴⁹/⁴⁵
⁵	⁵
⁵²	⁵²
⁵³	⁵³
⁵³²	⁵²
⁵¹	⁵¹
⁵⁴	⁵⁴
⁵⁴⁵	⁵⁴⁵
⁵⁵	⁵⁵
⁵⁵³	⁵³
⁵⁶	⁵⁶/⁵⁵
⁵⁸	⁵⁸/⁵⁵
⁶	⁶/⁵¹
⁶²	⁶²/⁵²
⁷	⁷/⁵²
⁸	⁸/⁵³
⁹	⁹/⁵⁴
ⁿ	NULL
ⁿd	ⁿd
ⁿdz	ⁿdz
ⁿdʷ	ⁿdʷ
ⁿsʼ	ⁿsʼ
ⁿt	ⁿt
ⁿts	ⁿts
ⁿtsh	ⁿtsʰ
ⁿtʼ	ⁿtʼ
ⁿw	ⁿw
∅	NULL
∅-...-	NULL
�	NULL
�:	NULL
�̆	NULL
